# INFORMACIÓN DE PELÍCULAS OBTENIDA MANUALMENTE VÍA GEMINI
# ================================================================
#
# PROCESO MANUAL UTILIZADO:
# 1. Se tomó la lista de películas únicas del archivo "nombres_unicos_prioritarios.txt"
#    (ordenada de más falta de información a menor falta de información)
# 2. Se copió y pegó la lista completa en Google Gemini
# 3. Se solicitó a Gemini que completara la información faltante (DIRECTOR y ACTOR_PRINCIPAL)
#    para cada película en la medida de lo posible
#
# AUTOMATIZACIÓN FUTURA:
# Este proceso manual se puede automatizar en posteriores pasos mediante:
# - Integración con la API de Google Gemini
# - Uso de credenciales de cuenta individual de cada usuario
# - Implementación de consultas automáticas por lotes
# - Validación y limpieza automática de respuestas
#
# FORMATO ESPERADO:
# Cada línea debe seguir el formato:
# NOMBRE_UNICO|DIRECTOR|ACTOR_PRINCIPAL
#
# Ejemplo:
# ALIEN ROMULUS|Fede Álvarez|Cailee Spaeny; David Jonsson
# BEETLEJUICE BEETLEJUICE|Tim Burton|Michael Keaton; Winona Ryder
#
# NOTAS:
# - Si no se encuentra información, dejar el campo vacío después del |
# - Múltiples actores separados por punto y coma (;)
# - Múltiples directores separados por punto y coma (;)
# - Mantener los nombres únicos exactamente como aparecen en la lista original
#
# ================================================================
# INFORMACIÓN RECOLECTADA (COPIAR Y PEGAR AQUÍ):
# ================================================================
NOMBRE_UNICO,DIRECTOR,ACTOR_PRINCIPAL 

 1938 CUANDO EL PETRÓLEO FUE NUESTRO,Joaquín Pseudo, 

 1992 NOCHE SIN LEY,, 

 200 LOBO,Rodrigo "Lobo" Courdurier, 

 4 FANTÁSTICOS PRIMEROS PASOS FES,Matt Shakman,Pedro Pascal 

 4 FANTÁSTICOS PRIMEROS PASOS FINA,Matt Shakman,Pedro Pascal 

 4 FANTÁSTICOS PRIMEROS PASOS FINB,Matt Shakman,Pedro Pascal 

 48HFP 2024 GRUPO A,, 

 48HFP 2024 GRUPO C,, 

 48HFP 2024 GRUPO D,, 

 48HFP 2024 GRUPO E,, 

 48HFP 2024 GRUPO F,, 

 48HFP 2024 GRUPO G,, 

 48HFP 2024 GRUPO H,, 

 48HFP 2024 GRUPO I,, 

 48HFP 2024 GRUPO J,, 

 48HFP 2024 GRUPO K,, 

 48HFP 2024 GRUPO L,, 

 48HFP 2024 GRUPO M,, 

 48HFP 2024 GRUPO N,, 

 6DAYS,Toa Fraser,Jamie Bell 

 76MICT CERRAR LOS OJOS,Víctor Erice,Manolo Solo 

 76MICT EL PESAR DE LOS SUEÑOS,Juana Lotero, 

 76MICT MEMORY,Michel Franco,Jessica Chastain 

 76MICT MISERICORDIA,Emma Dante,Simone Zambelli 

 76MICT PROFUNDO CARMESÍ,Arturo Ripstein,Regina Orozco 

 76MICT SIMÓN DE LA MONTAÑA,Federico Luis,Lorenzo Ferro 

 76MICT TIERRA DE HERMANOS,Hlynur Pálmason,Elliott Crosset Hove 

 ACABA CON ELLOS,Felipe Gálvez Haberle,Alfredo Castro 

 ACREDITACIÓN FICM 2025,, 

 ADO SPECIAL LIVE SHINZOU EN CINES,,Ado 

 ALARUM CÓDIGO LETAL,Michael Polish,Sylvester Stallone 

 ALAS BLANCAS,Paul-André Robin, 

 ALIEN ROMULUS,Fede Álvarez,Cailee Spaeny 

 ALMAS MARCADAS,Mauro Mauad, 

 ALTO KNIGHTS MAFIA Y PODER,Barry Levinson,Robert De Niro 

 AMATEUR OPERACIÓN VENGANZA BR,James Hawes,Rami Malek 

 AMATEUR OPERACIÓN VENGANZA LED,James Hawes,Rami Malek 

 AMB APOCALIPSIS EN LOS TRÓPICOS,Petra Costa, 

 AMB BINNIGULA SA LOS ANTIGUOS ZAPOTECAS,Enrique H. Mendoza, 

 AMB CAMERAPERSON,Kirsten Johnson, 

 AMB CORAZÓN DE PERRO,Laurie Anderson, 

 AMB DIARIO DE MI SEXTORSIÓN,Joserra Zúñiga, 

 AMB EL OBJETO ANTES LLAMADO DISCO,Elisa Cepedal, 

 AMB EL PROYECTO DEL ASESINO DEL ZODIACO,Tom Hanson, 

 AMB LA LIBERTAD DE FIERRO,Julio H. Cordón, 

 AMB LA LIBERTAD DEL DIABLO,Everardo González, 

 AMB LA PESADILLA DE DARWIN,Hubert Sauper, 

 AMB LEVIATÁN,Lucien Castaing-Taylor & Véréna Paravel, 

 AMB LI CHAM MORÍ,Isabel Vaca, 

 AMB PINA,Wim Wenders,Pina Bausch 

 AMB SALÓN DE BAILE,María T. Larraín, 

 AMB SANTIAGO,João Moreira Salles, 

 AMB VIVAN LAS ANTÍPODAS,Viktor Kossakovsky, 

 AMIGOS IMAGINARIOS,John Krasinski,Ryan Reynolds 

 AMORES MATERIALISTAS BR,Fernando Frías de la Parra,Thomasin McKenzie 

 AMORES MATERIALISTAS LED,Fernando Frías de la Parra,Thomasin McKenzie 

 AN EVENING WITH DUA LIPA EN CINES,,Dua Lipa 

 ANDREA BOCELLI 30 THE CELEBRATION,,Andrea Bocelli 

 ANDREA BOCELLI BECAUSE I BELIEVE,,Andrea Bocelli 

 ANIMALES PELIGROSO,Dean Fleischer Camp,Jason Statham 

 APOCALIPSIS DE SAN JUAN,Raúl García, 

 APOCALIPSIS RADIOACTIVO,Giga Agladze,Jim Sturgess 

 APOCALIPSIS ZOMBIE PACIENTE Z,Jacobo Rispa, 

 AQUÍ,Robert Zemeckis,Tom Hanks 

 ARGONAUTAS,David Freyne,Shazad Latif 

 ARGONAUTAS SJ,David Freyne,Shazad Latif 

 ARILLO DE HOMBRE MUERTO,Alejandro Gerber Bicecci, 

 ARMADOS,Ardit Sadiku, 

 ARMAGEDÓN DIOSES DEL APOCALIPSIS,Chino Moya, 

 ARMAND UNA ACUSACIÓN PELIGROSA,Halfdan Ullmann Tøndel,Renate Reinsve 

 ASESINO SERIAL,Kevin Greutert,Kiefer Sutherland 

 ATAQUE ZOMBIE ESTACIÓN GANGNAM,Lee Soo-seong,Ji Il-joo 

 ATEEZ TOWARDS THE LIGHT WILL TO POWER,,ATEEZ 

 ATEEZ WORLD TOUR HACIA LA LUZ VOLUNTAD DE,,ATEEZ 

 ATEEZ WORLD TOUR TOWARDS THE LIGHT,,ATEEZ 

 ATENTADO EN MADRID,Daniel Calparsoro,Javier Rey 

 AUTOS M A Y ROCANROL,Everardo Valerio, 

 AVENTURAS CANINAS EL MISTERIO DE LA CORONA,Stephen Shimek, 

 AVENTURAS CANINAS EL MISTERIO DE LA CORONA SJ,Stephen Shimek, 

 AVENTURAS DE DOG MAN,Peter Hastings, 

 AVENTURAS DE DOG MAN SJ,Peter Hastings, 

 AÚN ESTOY AQUÍ,Walter Salles,Fernanda Montenegro 

 BABYGIRL DESEO PROHIBIDO,Halina Reijn,Nicole Kidman 

 BAEKHYUN,,Baekhyun 

 BAEKHYUN LONSDALEITE,,Baekhyun 

 BAEKHYUN LONSDALEITE EN CINES,,Baekhyun 

 BAGMAN EL ESPÍRITU DEL MAL,Colm McCarthy,Sam Claflin 

 BAGMAN ESPÍRITU DEL MAL,Colm McCarthy,Sam Claflin 

