MOVIE_ID,MOVIE_NAME,TITULO_LIMPIO,FORMATO,IDIOMA,CATEGORIA,DESCRIPCION,FAMILIA,NOMBRE_ORIGINAL,DESCRIPCION2,ACTOR_PRINCIPAL,DIRECTOR,DURACION,CATEGORIA_CINEPOLIS,NOMBRE_ORIGINAL_CLEAN,TITULO_LIMPIO_CLEAN,NOMBRE_UNICO
285,#RUNSEOKJIN EP.TOUR en Vivo desde Amsterdam SP Sub,#RUNSEOKJIN EP.TOUR EN VIVO DESDE AMSTERDAM SP,2D,SUB,MUSICAL,"desde goyang hasta japón, norteamérica y europa, jin emprende un increíble recorrido para encontrarse con su querido army en esta primera gira mundial como solista. vive la magia de la música y las interpretaciones únicas de jin en su concierto del 9 de agosto en ámsterdam, donde podrás escuchar canciones de su segundo álbum solista “echo” y también de su álbum debut “happy”. ¡lo verás en directo en la gran pantalla!",#RUNSEOKJIN EP.TOUR EN VIVO DESDE AMSTERDAM,#RUNSEOKJIN EP.TOUR en Vivo desde Amsterdam SP Sub,"desde goyang hasta japón, norteamérica y europa, jin emprende un increíble recorrido para encontrarse con su querido army en esta primera gira mundial como solista. vive la magia de la música y las interpretaciones únicas de jin en su concierto del 9 de agosto en ámsterdam, donde podrás escuchar canciones de su segundo álbum solista “echo” y también de su álbum debut “happy”. ¡lo verás en directo en la gran pantalla!",JIN,HYBE & BIGHIT MUSIC,165 minutos,MUSICAL,#RUNSEOKJIN EP.TOUR EN VIVO DESDE AMSTERDAM SP,#RUNSEOKJIN EP.TOUR EN VIVO DESDE AMSTERDAM SP,#RUNSEOKJIN EP.TOUR EN VIVO DESDE AMSTERDAM
1065,#RUNSEOKJIN EP.TOUR en Vivo desde Amsterdam Sub,#RUNSEOKJIN EP.TOUR EN VIVO DESDE AMSTERDAM,2D,SUB,MUSICAL,"desde goyang hasta japón, norteamérica y europa, jin emprende un increíble recorrido para encontrarse con su querido army en esta primera gira mundial como solista. vive la magia de la música y las interpretaciones únicas de jin en su concierto del 9 de agosto en ámsterdam, donde podrás escuchar canciones de su segundo álbum solista “echo” y también de su álbum debut “happy”. ¡lo verás en directo en la gran pantalla!",#RUNSEOKJIN EP.TOUR EN VIVO DESDE AMSTERDAM,#RUNSEOKJIN EP.TOUR en Vivo desde Amsterdam Sub,"desde goyang hasta japón, norteamérica y europa, jin emprende un increíble recorrido para encontrarse con su querido army en esta primera gira mundial como solista. vive la magia de la música y las interpretaciones únicas de jin en su concierto del 9 de agosto en ámsterdam, donde podrás escuchar canciones de su segundo álbum solista “echo” y también de su álbum debut “happy”. ¡lo verás en directo en la gran pantalla!",JIN,HYBE & BIGHIT MUSIC,165 minutos,MUSICAL,#RUNSEOKJIN EP.TOUR EN VIVO DESDE AMSTERDAM,#RUNSEOKJIN EP.TOUR EN VIVO DESDE AMSTERDAM,#RUNSEOKJIN EP.TOUR EN VIVO DESDE AMSTERDAM
377,(G)I-DLE WORLD TOUR (iDOL) IN XE SCREENX Sub,(G)I-DLE WORLD TOUR (IDOL) IN,SCREENX,SUB,CONCIERTO,"¿están listos para divertise? la energía inolvidable de la gira mundial 2024 (g)i-dle world tour [idol], que deslumbró a fans en 14 ciudades, llega a la gran pantalla. vive la magia de su concierto en seúl, el espectacular inicio de esta electrizante gira. disfruta de actuaciones icónicas de éxitos como super lady, latata, queencard y tomboy, acompañadas de un repertorio perfectamente curado y visuales impresionantes. desde enero de 2025, sumérgete en esta experiencia de ensueño con una de las mayores estrellas del k-pop",(G)I-DLE WORLD TOUR [IDOL] IN CINEMAS,(G)I-DLE WORLD TOUR (iDOL) IN XE SCREENX Sub,"¿están listos para divertise? la energía inolvidable de la gira mundial 2024 (g)i-dle world tour [idol], que deslumbró a fans en 14 ciudades, llega a la gran pantalla. vive la magia de su concierto en seúl, el espectacular inicio de esta electrizante gira. disfruta de actuaciones icónicas de éxitos como super lady, latata, queencard y tomboy, acompañadas de un repertorio perfectamente curado y visuales impresionantes. desde enero de 2025, sumérgete en esta experiencia de ensueño con una de las mayores estrellas del k-pop",(G)I-DLE,YOONDONG OH,102 minutos,CONCIERTO,(G)I-DLE WORLD TOUR (IDOL) IN,(G)I-DLE WORLD TOUR (IDOL) IN,GI DLE WORLD TOUR IDOL IN
609,(G)I-DLE WORLD TOUR (iDOL) IN SCREENX Sub,(G)I-DLE WORLD TOUR (IDOL) IN,SCREENX,SUB,CONCIERTO,"¿están listos para divertise? la energía inolvidable de la gira mundial 2024 (g)i-dle world tour [idol], que deslumbró a fans en 14 ciudades, llega a la gran pantalla. vive la magia de su concierto en seúl, el espectacular inicio de esta electrizante gira. disfruta de actuaciones icónicas de éxitos como super lady, latata, queencard y tomboy, acompañadas de un repertorio perfectamente curado y visuales impresionantes. desde enero de 2025, sumérgete en esta experiencia de ensueño con una de las mayores estrellas del k-pop",(G)I-DLE WORLD TOUR [IDOL] IN CINEMAS,(G)I-DLE WORLD TOUR (iDOL) IN SCREENX Sub,"¿están listos para divertise? la energía inolvidable de la gira mundial 2024 (g)i-dle world tour [idol], que deslumbró a fans en 14 ciudades, llega a la gran pantalla. vive la magia de su concierto en seúl, el espectacular inicio de esta electrizante gira. disfruta de actuaciones icónicas de éxitos como super lady, latata, queencard y tomboy, acompañadas de un repertorio perfectamente curado y visuales impresionantes. desde enero de 2025, sumérgete en esta experiencia de ensueño con una de las mayores estrellas del k-pop",(G)I-DLE,YOONDONG OH,102 minutos,CONCIERTO,(G)I-DLE WORLD TOUR (IDOL) IN,(G)I-DLE WORLD TOUR (IDOL) IN,GI DLE WORLD TOUR IDOL IN
1182,(G)I-DLE WORLD TOUR (iDOL) IN SP Sub,(G)I-DLE WORLD TOUR (IDOL) IN SP,2D,SUB,CONCIERTO,"¿están listos para divertise? la energía inolvidable de la gira mundial 2024 (g)i-dle world tour [idol], que deslumbró a fans en 14 ciudades, llega a la gran pantalla. vive la magia de su concierto en seúl, el espectacular inicio de esta electrizante gira. disfruta de actuaciones icónicas de éxitos como super lady, latata, queencard y tomboy, acompañadas de un repertorio perfectamente curado y visuales impresionantes. desde enero de 2025, sumérgete en esta experiencia de ensueño con una de las mayores estrellas del k-pop",(G)I-DLE WORLD TOUR [IDOL] IN CINEMAS,(G)I-DLE WORLD TOUR (iDOL) IN SP Sub,"¿están listos para divertise? la energía inolvidable de la gira mundial 2024 (g)i-dle world tour [idol], que deslumbró a fans en 14 ciudades, llega a la gran pantalla. vive la magia de su concierto en seúl, el espectacular inicio de esta electrizante gira. disfruta de actuaciones icónicas de éxitos como super lady, latata, queencard y tomboy, acompañadas de un repertorio perfectamente curado y visuales impresionantes. desde enero de 2025, sumérgete en esta experiencia de ensueño con una de las mayores estrellas del k-pop",(G)I-DLE,YOONDONG OH,102 minutos,CONCIERTO,(G)I-DLE WORLD TOUR (IDOL) IN SP,(G)I-DLE WORLD TOUR (IDOL) IN SP,GI DLE WORLD TOUR IDOL IN
1319,(G)I-DLE WORLD TOUR (iDOL) IN 4DX/2D Sub,(G)I-DLE WORLD TOUR (IDOL) IN,4D,SUB,CONCIERTO,"¿están listos para divertise? la energía inolvidable de la gira mundial 2024 (g)i-dle world tour [idol], que deslumbró a fans en 14 ciudades, llega a la gran pantalla. vive la magia de su concierto en seúl, el espectacular inicio de esta electrizante gira. disfruta de actuaciones icónicas de éxitos como super lady, latata, queencard y tomboy, acompañadas de un repertorio perfectamente curado y visuales impresionantes. desde enero de 2025, sumérgete en esta experiencia de ensueño con una de las mayores estrellas del k-pop",(G)I-DLE WORLD TOUR [IDOL] IN CINEMAS,(G)I-DLE WORLD TOUR (iDOL) IN 4DX/2D Sub,"¿están listos para divertise? la energía inolvidable de la gira mundial 2024 (g)i-dle world tour [idol], que deslumbró a fans en 14 ciudades, llega a la gran pantalla. vive la magia de su concierto en seúl, el espectacular inicio de esta electrizante gira. disfruta de actuaciones icónicas de éxitos como super lady, latata, queencard y tomboy, acompañadas de un repertorio perfectamente curado y visuales impresionantes. desde enero de 2025, sumérgete en esta experiencia de ensueño con una de las mayores estrellas del k-pop",(G)I-DLE,YOONDONG OH,102 minutos,CONCIERTO,(G)I-DLE WORLD TOUR (IDOL) IN,(G)I-DLE WORLD TOUR (IDOL) IN,GI DLE WORLD TOUR IDOL IN
1806,(G)I-DLE WORLD TOUR (iDOL) IN Sub,(G)I-DLE WORLD TOUR (IDOL) IN,2D,SUB,CONCIERTO,"¿están listos para divertise? la energía inolvidable de la gira mundial 2024 (g)i-dle world tour [idol], que deslumbró a fans en 14 ciudades, llega a la gran pantalla. vive la magia de su concierto en seúl, el espectacular inicio de esta electrizante gira. disfruta de actuaciones icónicas de éxitos como super lady, latata, queencard y tomboy, acompañadas de un repertorio perfectamente curado y visuales impresionantes. desde enero de 2025, sumérgete en esta experiencia de ensueño con una de las mayores estrellas del k-pop",(G)I-DLE WORLD TOUR [IDOL] IN CINEMAS,(G)I-DLE WORLD TOUR (iDOL) IN Sub,"¿están listos para divertise? la energía inolvidable de la gira mundial 2024 (g)i-dle world tour [idol], que deslumbró a fans en 14 ciudades, llega a la gran pantalla. vive la magia de su concierto en seúl, el espectacular inicio de esta electrizante gira. disfruta de actuaciones icónicas de éxitos como super lady, latata, queencard y tomboy, acompañadas de un repertorio perfectamente curado y visuales impresionantes. desde enero de 2025, sumérgete en esta experiencia de ensueño con una de las mayores estrellas del k-pop",(G)I-DLE,YOONDONG OH,102 minutos,CONCIERTO,(G)I-DLE WORLD TOUR (IDOL) IN,(G)I-DLE WORLD TOUR (IDOL) IN,GI DLE WORLD TOUR IDOL IN
1937,Mickey 17 XE SCREENX Esp,MICKEY 17,SCREENX,ESP,CONCIERTO,"¿están listos para divertise? la energía inolvidable de la gira mundial 2024 (g)i-dle world tour [idol], que deslumbró a fans en 14 ciudades, llega a la gran pantalla. vive la magia de su concierto en seúl, el espectacular inicio de esta electrizante gira. disfruta de actuaciones icónicas de éxitos como super lady, latata, queencard y tomboy, acompañadas de un repertorio perfectamente curado y visuales impresionantes. desde enero de 2025, sumérgete en esta experiencia de ensueño con una de las mayores estrellas del k-pop",(G)I-DLE WORLD TOUR [IDOL] IN CINEMAS,Mickey 17 XE SCREENX Esp,"¿están listos para divertise? la energía inolvidable de la gira mundial 2024 (g)i-dle world tour [idol], que deslumbró a fans en 14 ciudades, llega a la gran pantalla. vive la magia de su concierto en seúl, el espectacular inicio de esta electrizante gira. disfruta de actuaciones icónicas de éxitos como super lady, latata, queencard y tomboy, acompañadas de un repertorio perfectamente curado y visuales impresionantes. desde enero de 2025, sumérgete en esta experiencia de ensueño con una de las mayores estrellas del k-pop",(G)I-DLE,YOONDONG OH,102 minutos,CONCIERTO,MICKEY 17,MICKEY 17,GI DLE WORLD TOUR IDOL IN
305,(G)I-DLE WORLD TOUR [iDOL] IN CINEMAS Sub,(G)I-DLE WORLD TOUR [IDOL] IN CINEMAS,2D,SUB,CONCIERTO,"¿están listos para divertise? la energía inolvidable de la gira mundial 2024 (g)i-dle world tour [idol], que deslumbró a fans en 14 ciudades, llega a la gran pantalla. vive la magia de su concierto en seúl, el espectacular inicio de esta electrizante gira. disfruta de actuaciones icónicas de éxitos como super lady, latata, queencard y tomboy, acompañadas de un repertorio perfectamente curado y visuales impresionantes. desde enero de 2025, sumérgete en esta experiencia de ensueño con una de las mayores estrellas del k-pop",(G)I-DLE WORLD TOUR [IDOL] IN CINEMAS,(G)I-DLE WORLD TOUR [iDOL] IN CINEMAS Sub,"¿están listos para divertise? la energía inolvidable de la gira mundial 2024 (g)i-dle world tour [idol], que deslumbró a fans en 14 ciudades, llega a la gran pantalla. vive la magia de su concierto en seúl, el espectacular inicio de esta electrizante gira. disfruta de actuaciones icónicas de éxitos como super lady, latata, queencard y tomboy, acompañadas de un repertorio perfectamente curado y visuales impresionantes. desde enero de 2025, sumérgete en esta experiencia de ensueño con una de las mayores estrellas del k-pop",(G)I-DLE,YOONDONG OH,102 minutos,CONCIERTO,(G)I-DLE WORLD TOUR [IDOL] IN CINEMAS,(G)I-DLE WORLD TOUR [IDOL] IN CINEMAS,GI DLE WORLD TOUR IDOL IN
465,1938 Cuando El Petróleo Fue Nuestro SP Esp,1938 CUANDO EL PETRÓLEO FUE NUESTRO SP,2D,ESP,HISTORIA,"a lo largo del año de 1938, el presidente lázaro cárdenas, enfrenta la decisión más difícil de su mandato: expropiar la industria petrolera.",1938 CUANDO EL PETROLEO FUE NUESTRO,1938 Cuando El Petróleo Fue Nuestro SP Esp,"a lo largo del año de 1938, el presidente lázaro cárdenas, enfrenta la decisión más difícil de su mandato: expropiar la industria petrolera.",IANIS GUERRERO; BALTIMORE BELTRÁN; SERGIO BONILLA,SERGIO OLHOVICH,99 minutos,DRAMA; HISTORIA,1938 CUANDO EL PETRÓLEO FUE NUESTRO SP,1938 CUANDO EL PETRÓLEO FUE NUESTRO SP,1938 CUANDO EL PETROLEO FUE NUESTRO
