MOVIE_ID,MOVIE_NAME,TITULO_LIMPIO,FORMATO,IDIOMA,CATEGORIA,DESCRIPCION,FAMILIA,NOMBRE_ORIGINAL,DESCRIPCION2,ACTOR_PRINCIPAL,DIRECTOR,DURACION,CATEGORIA_CINEPOLIS,NOMBRE_ORIGINAL_CLEAN,TITULO_LIMPIO_CLEAN,NOMBRE_UNICO
1491,Flow Esp,FLOW ESP,2D,ESP,,,FLOW,Flow Esp,,,,85 minutos,,FLOW,FLOW,FLOW
1998,Better Man: La Historia De Robbie Williams Sub,BETTER MAN: LA HISTORIA DE ROBBIE WILLIAMS SUB,2D,SUB,,,BETTER MAN,Better Man: La Historia De Robbie Williams Sub,,,,135 minutos,,BETTER MAN: LA HISTORIA DE ROBBIE WILLIAMS,BETTER MAN: LA HISTORIA DE ROBBIE WILLIAMS,BETTER MAN LA HISTORIA DE ROBBIE WILLIAMS
64,Superman Esp,SUPERMAN ESP,2D,ESP,,,SUPERMAN,Superman Esp,,,,129 minutos,,SUPERMAN,SUPERMAN,SUPERMAN
290,Lilo y Stitch 4DX/3D Esp,LILO Y STITCH 4DX/3D ESP,2D,ESP,,,LILO Y STITCH,Lilo y Stitch 4DX/3D Esp,,,,108 minutos,,LILO Y STITCH,LILO Y STITCH,LILO Y STITCH
1999,Exterminio: La Evolución Esp,EXTERMINIO: LA EVOLUCIÓN ESP,2D,ESP,,,EXTERMINIO,Exterminio: La Evolución Esp,,,,115 minutos,,EXTERMINIO: LA EVOLUCIÓN,EXTERMINIO: LA EVOLUCIÓN,EXTERMINIO LA EVOLUCIÓN
159,Amores Materialistas Sub,AMORES MATERIALISTAS SUB,2D,SUB,,,AMORES MATERIALISTAS,Amores Materialistas Sub,,,,117 minutos,,AMORES MATERIALISTAS,AMORES MATERIALISTAS,AMORES MATERIALISTAS
290,Lilo y Stitch Esp,LILO Y STITCH ESP,2D,ESP,,,LILO Y STITCH,Lilo y Stitch Esp,,,,108 minutos,,LILO Y STITCH,LILO Y STITCH,LILO Y STITCH
344,Memorias De Un Caracol Esp,MEMORIAS DE UN CARACOL ESP,2D,ESP,,,MEMORIAS DE UN CARACOL,Memorias De Un Caracol Esp,,,,95 minutos,,MEMORIAS DE UN CARACOL,MEMORIAS DE UN CARACOL,MEMORIAS DE UN CARACOL
2000,Demon Slayer: Kimetsu no Yaiba Sub,DEMON SLAYER: KIMETSU NO YAIBA SUB,2D,SUB,,,DEMON SLAYER,Demon Slayer: Kimetsu no Yaiba Sub,,,,155 minutos,,DEMON SLAYER: KIMETSU NO YAIBA,DEMON SLAYER: KIMETSU NO YAIBA,DEMON SLAYER KIMETSU NO YAIBA
2001,Jurassic World: Renace Sub,JURASSIC WORLD: RENACE SUB,2D,SUB,,,JURASSIC WORLD,Jurassic World: Renace Sub,,,,134 minutos,,JURASSIC WORLD: RENACE,JURASSIC WORLD: RENACE,JURASSIC WORLD RENACE
